t 13924 83916
v 328 3 5
v 329 9 3
v 330 14 4
v 331 0 2
v 332 0 13
v 333 3 5
v 334 0 11
v 335 0 7
v 336 6 6
v 337 9 2
v 338 0 4
v 339 3 3
v 340 4 20
v 341 3 4
v 342 3 4
v 343 0 32
v 344 14 4
v 345 7 2
v 346 6 3
v 347 0 12
v 348 0 208
v 349 6 15
v 350 6 20
v 351 6 4
v 352 9 4
v 353 0 29
v 354 3 5
v 355 6 5
v 356 4 59
v 357 7 4
v 358 10 3
v 359 3 3
v 360 0 7
v 361 0 8
v 362 4 925
v 363 11 8
v 364 3 10
v 365 0 21
v 366 0 9
v 367 2 7
v 368 3 3
v 369 9 6
v 370 4 2
v 371 6 6
v 372 2 5
v 373 7 3
v 374 4 3
v 375 0 16
v 376 13 3
v 377 12 4
v 378 3 9
v 379 2 2
v 380 2 11
v 381 0 2
v 382 0 2
v 383 9 16
v 384 9 4
v 385 3 3
v 386 0 4
v 387 14 7
v 388 12 2
v 389 0 81
v 390 6 3
v 391 9 3
v 392 9 4
v 393 3 4
v 394 1 5
v 395 7 5
v 396 14 3
v 397 3 4
v 398 9 7
v 399 4 18
v 400 0 14
v 401 0 5
v 402 12 7
v 403 0 7
v 404 9 40
v 405 7 6
v 406 2 11
v 407 9 10
v 408 6 4
v 409 0 14
v 410 0 7
v 411 12 4
v 412 0 4
v 413 12 37
v 414 0 10
v 415 9 3
v 416 6 3
v 417 0 4
v 418 4 4
v 419 3 3
v 420 9 7
v 421 0 4
v 422 6 5
v 423 4 173
v 424 0 20
v 425 6 2
v 426 9 8
v 427 12 5
v 428 2 5
v 429 0 8
v 430 7 2
v 431 0 4
v 432 6 4
v 433 0 5
v 434 9 13
v 435 2 3
v 436 0 28
v 437 9 2
v 438 9 12
v 439 4 49
v 440 13 3
v 441 12 4
v 442 7 4
v 443 2 6
v 444 3 3
v 445 9 3
v 446 0 2
v 447 2 32
v 448 9 4
v 449 6 7
v 450 2 4
v 451 6 2
v 452 0 2
v 453 6 4
v 454 6 20
v 455 3 27
v 456 6 5
v 457 3 5
v 458 4 6
v 459 0 6
v 460 11 4
v 461 6 2
v 462 0 2
v 463 0 15
v 464 9 2
v 465 3 5
v 466 0 32
v 467 9 2
v 468 6 19
v 469 9 6
v 470 14 12
v 471 4 5
v 472 4 33
v 473 6 8
v 474 0 10
v 475 0 12
v 476 2 4
v 477 9 4
v 478 0 2
v 479 2 6
v 480 7 2
v 481 12 4
v 482 9 5
v 483 0 3
v 484 4 8
v 485 9 2
v 486 0 2
v 487 0 13
v 488 0 4
v 489 2 14
v 490 14 6
v 491 1 5
v 492 2 6
v 493 0 15
v 494 3 15
v 495 4 39
v 496 2 6
v 497 0 21
v 498 6 24
v 499 0 2
v 500 7 3
v 501 4 2
v 502 0 2
v 503 6 2
v 504 6 2
v 505 2 46
v 506 0 3
v 507 0 4
v 508 0 2
v 509 0 5
v 510 3 3
v 511 0 3
v 512 9 14
v 513 2 18
v 514 6 14
v 515 0 2
v 516 7 72
v 517 9 5
v 518 9 3
v 519 4 3
v 520 6 5
v 521 0 3
v 522 0 2
v 523 0 2
v 524 3 3
v 525 0 2
v 526 7 14
v 527 0 5
v 528 0 33
v 529 0 12
v 530 2 25
v 531 0 9
v 532 6 3
v 533 0 4
v 534 6 2
v 535 7 7
v 536 4 4
v 537 0 5
v 538 0 3
v 539 4 29
v 540 9 4
v 541 10 13
v 542 0 4
v 543 6 35
v 544 3 4
v 545 4 5
v 546 0 4
v 547 10 3
v 548 2 4
v 549 0 3
v 550 0 3
v 551 0 9
v 552 10 7
v 553 0 2
v 554 7 11
v 555 2 41
v 556 0 3
v 557 8 2
v 558 2 3
v 559 12 49
v 560 3 2
v 561 0 9
v 562 6 9
v 563 2 4
v 564 12 6
v 565 0 34
v 566 5 3
v 567 3 11
v 568 0 82
v 569 6 4
v 570 0 5
v 571 0 3
v 572 0 4
v 573 12 24
v 574 0 5
v 575 0 3
v 576 2 10
v 577 0 4
v 578 7 2
v 579 0 7
v 580 3 3
v 581 0 2
v 582 0 3
v 583 0 6
v 584 9 4
v 585 12 7
v 586 0 3
v 587 4 24
v 588 0 3
v 589 0 2
v 590 0 3
v 591 9 4
v 592 9 5
v 593 0 17
v 594 3 10
v 595 0 4
v 596 0 2
v 597 6 5
v 598 9 2
v 599 6 20
v 600 0 18
v 601 7 6
v 602 0 4
v 603 0 2
v 604 0 8
v 605 2 2
v 606 6 59
v 607 9 4
v 608 9 3
v 609 0 4
v 610 9 2
v 611 9 5
v 612 0 11
v 613 7 78
v 614 0 3
v 615 3 3
v 616 7 6
v 617 9 3
v 618 6 3
v 619 0 4
v 620 0 10
v 621 2 3
v 622 6 2
v 623 6 8
v 624 2 14
v 625 2 6
v 626 0 4
v 627 9 29
v 628 9 139
v 629 0 2
v 630 0 14
v 631 0 19
v 632 0 9
v 633 2 2
v 634 9 2
v 635 6 4
v 636 0 3
v 637 4 3
v 638 0 3
v 639 8 3
v 640 6 4
v 641 9 6
v 642 12 8
v 643 6 2
v 644 0 3
v 645 0 6
v 646 0 4
v 647 0 33
v 648 7 6
v 649 0 11
v 650 10 4
v 651 6 3
v 652 0 3
v 653 0 2
v 654 0 6
v 655 0 3
v 656 7 3
v 657 2 3
v 658 0 3
v 659 6 6
v 660 0 3
v 661 1 4
v 662 0 2
v 663 0 3
v 664 14 7
v 665 0 4
v 666 6 10
v 667 0 6
v 668 0 4
v 669 12 27
v 670 4 4
v 671 2 4
v 672 8 68
v 673 7 2
v 674 13 4
v 675 4 134
v 676 9 2
v 677 4 2
v 678 0 14
v 679 3 4
v 680 2 5
v 681 2 6
v 682 9 3
v 683 14 18
v 684 0 3
v 685 9 17
v 686 12 37
v 687 10 9
v 688 2 8
v 689 2 2
v 690 10 3
v 691 0 3
v 692 0 2
v 693 0 24
v 694 7 5
v 695 0 27
v 696 0 2
v 697 11 21
v 698 0 2
v 699 2 3
v 700 0 4
v 701 2 2
v 702 7 8
v 703 9 2
v 704 0 24
v 705 6 75
v 706 4 9
v 707 0 3
v 708 6 2
v 709 14 3
v 710 6 2
v 711 6 7
v 712 3 3
v 713 2 3
v 714 9 4
v 715 0 2
v 716 3 4
v 717 0 2
v 718 3 3
v 719 0 28
v 720 12 89
v 721 9 3
v 722 6 2
v 723 9 2
v 724 12 2
v 725 2 26
v 726 0 3
v 727 3 3
v 728 3 4
v 729 4 11
v 730 0 2
v 731 0 41
v 732 8 2
v 733 0 6
v 734 6 6
v 735 6 39
v 736 2 4
v 737 6 3
v 738 0 8
v 739 1 3
v 740 0 4
v 741 0 8
v 742 0 12
v 743 2 10
v 744 6 7
v 745 3 4
v 746 0 3
v 747 0 10
v 748 6 3
v 749 3 4
v 750 3 4
v 751 2 10
v 752 1 3
v 753 9 3
v 754 2 10
v 755 9 3
v 756 12 3
v 757 6 5
v 758 0 6
v 759 0 2
v 760 6 7
v 761 6 11
v 762 3 4
v 763 6 4
v 764 0 2
v 765 6 4
v 766 3 2
v 767 9 2
v 768 3 3
v 769 0 58
v 770 3 5
v 771 6 4
v 772 6 3
v 773 0 4
v 774 0 2
v 775 6 130
v 776 0 4
v 777 0 2
v 778 0 3
v 779 0 10
v 780 4 25
v 781 9 19
v 782 0 5
v 783 3 3
v 784 0 13
v 785 4 171
v 786 0 211
v 787 6 2
v 788 3 3
v 789 6 10
v 790 2 2
v 791 13 3
v 792 0 2
v 793 9 95
v 794 3 3
v 795 6 3
v 796 14 4
v 797 0 14
v 798 0 27
v 799 9 4
v 800 0 2
v 801 3 3
v 802 4 7
v 803 3 7
v 804 0 3
v 805 3 3
v 806 14 2
v 807 0 4
v 808 3 3
v 809 12 5
v 810 0 6
v 811 0 83
v 812 2 10
v 813 0 3
v 814 0 4
v 815 7 7
v 816 6 8
v 817 6 4
v 818 7 4
v 819 6 11
v 820 2 8
v 821 2 4
v 822 5 9
v 823 4 6
v 824 3 8
v 825 0 5
v 826 3 3
v 827 0 18
v 828 11 16
v 829 5 23
v 830 9 4
v 831 9 4
v 832 7 7
v 833 1 2
v 834 9 2
v 835 6 22
v 836 12 31
v 837 2 2
v 838 0 2
v 839 4 11
v 840 0 3
v 841 0 2
v 842 3 4
v 843 3 3
v 844 6 22
v 845 0 3
v 846 3 2
v 847 8 5
v 848 2 2
v 849 9 6
v 850 0 14
v 851 7 7
v 852 4 8
v 853 9 2
v 854 6 5
v 855 6 8
v 856 4 6
v 857 2 7
v 858 6 11
v 859 0 5
v 860 6 2
v 861 0 20
v 862 0 30
v 863 0 3
v 864 0 30
v 865 1 3
v 866 13 5
v 867 0 53
v 868 4 4
v 869 10 29
v 870 2 3
v 871 2 3
v 872 0 2
v 873 9 3
v 874 9 74
v 875 7 7
v 876 2 8
v 877 9 5
v 878 4 7
v 879 3 3
v 880 2 5
v 881 4 2
v 882 0 2
v 883 13 4
v 884 9 3
v 885 0 13
v 886 6 5
v 887 0 2
v 888 9 4
v 889 0 3
v 890 0 15
v 891 6 9
v 892 3 3
v 893 7 7
v 894 0 4
v 895 0 13
v 896 9 3
v 897 0 14
v 898 2 4
v 899 6 3
v 900 6 2
v 901 1 4
v 902 0 4
v 903 2 3
v 904 0 12
v 905 0 57
v 906 5 2
v 907 9 4
v 908 2 113
v 909 4 8
v 910 2 3
v 911 6 6
v 912 0 11
v 913 2 6
v 914 10 3
v 915 0 2
v 916 9 9
v 917 0 4
v 918 6 7
v 919 12 2
v 920 4 6
v 921 2 2
v 922 6 9
v 923 0 3
v 924 2 4
v 925 7 2
v 926 0 2
v 927 9 2
v 928 7 3
v 929 0 6
v 930 7 11
v 931 3 5
v 932 3 3
v 933 0 18
v 934 4 5
v 935 0 3
v 936 0 2
v 937 0 4
v 938 9 2
v 939 13 2
v 940 9 3
v 941 0 2
v 942 0 8
v 943 0 13
v 944 6 4
v 945 8 2
v 946 6 60
v 947 7 8
v 948 3 12
v 949 7 3
v 950 3 3
v 951 7 7
v 952 0 6
v 953 2 4
v 954 2 36
v 955 3 3
v 956 10 4
v 957 7 8
v 958 0 2
v 959 0 14
v 960 0 34
v 961 9 3
v 962 9 3
v 963 7 2
v 964 3 3
v 965 0 8
v 966 6 21
v 967 2 3
v 968 2 3
v 969 6 28
v 970 0 3
v 971 6 3
v 972 4 5
v 973 10 7
v 974 6 3
v 975 12 4
v 976 2 8
v 977 0 3
v 978 9 3
v 979 0 3
v 980 3 4
v 981 9 6
v 982 2 4
v 983 9 2
v 984 13 9
v 985 10 3
v 986 0 2
v 987 0 3
v 988 3 2
v 989 5 86
v 990 0 14
v 991 0 2
v 992 6 4
v 993 0 24
v 994 14 4
v 995 12 3
v 996 10 4
v 997 0 8
v 998 0 5
v 999 0 6
v 1000 9 3
v 1001 6 3
v 1002 3 3
v 1003 7 8
v 1004 0 65
v 1005 6 5
v 1006 0 3
v 1007 0 37
v 1008 9 2
v 1009 4 21
v 1010 2 3
v 1011 0 5
v 1012 6 11
v 1013 6 6
v 1014 9 4
v 1015 0 21
v 1016 2 6
v 1017 9 3
v 1018 12 3
v 1019 6 3
v 1020 7 4
v 1021 0 2
v 1022 6 7
v 1023 0 7
v 1024 0 5
v 1025 9 4
v 1026 3 8
v 1027 3 13
v 1028 7 5
v 1029 0 76
v 1030 14 3
v 1031 0 2
v 1032 6 9
v 1033 6 4
v 1034 0 2
v 1035 0 4
v 1036 9 22
v 1037 3 4
v 1038 0 4
v 1039 4 161
v 1040 0 4
v 1041 7 4
v 1042 4 12
v 1043 12 3
v 1044 0 3
v 1045 0 5
v 1046 7 8
v 1047 7 4
v 1048 0 5
v 1049 6 7
v 1050 7 8
v 1051 7 4
v 1052 0 2
v 1053 12 10
v 1054 4 17
v 1055 6 5
v 1056 0 8
v 1057 0 3
v 1058 3 2
v 1059 6 5
v 1060 9 4
v 1061 0 9
v 1062 0 4
v 1063 0 10
v 1064 9 7
v 1065 0 3
v 1066 0 26
v 1067 2 2
v 1068 0 5
v 1069 0 3
v 1070 7 3
v 1071 0 2
v 1072 0 8
v 1073 6 4
v 1074 0 14
v 1075 0 6
v 1076 9 8
v 1077 0 11
v 1078 6 5
v 1079 12 4
v 1080 0 2
v 1081 2 16
v 1082 9 12
v 1083 2 4
v 1084 2 4
v 1085 10 6
v 1086 2 16
v 1087 0 2
v 1088 9 12
v 1089 9 144
v 1090 3 5
v 1091 12 24
v 1092 0 5
v 1093 4 18
v 1094 14 3
v 1095 9 4
v 1096 0 10
v 1097 3 2
v 1098 0 3
v 1099 9 4
v 1100 0 11
v 1101 6 55
v 1102 2 23
v 1103 3 4
v 1104 7 2
v 1105 3 4
v 1106 2 3
v 1107 13 2
v 1108 0 5
v 1109 0 2
v 1110 0 3
v 1111 3 2
v 1112 8 2
v 1113 0 7
v 1114 9 3
v 1115 0 2
v 1116 5 2
v 1117 0 5
v 1118 0 12
v 1119 6 4
v 1120 0 12
v 1121 6 7
v 1122 9 3
v 1123 0 17
v 1124 1 4
v 1125 0 78
v 1126 0 50
v 1127 6 6
v 1128 3 2
v 1129 2 8
v 1130 6 83
v 1131 6 7
v 1132 0 3
v 1133 13 2
v 1134 4 6
v 1135 0 2
v 1136 0 4
v 1137 0 13
v 1138 3 5
v 1139 3 3
v 1140 7 8
v 1141 3 3
v 1142 9 16
v 1143 4 4
v 1144 12 4
v 1145 2 3
v 1146 2 3
v 1147 3 3
v 1148 6 3
v 1149 6 6
v 1150 0 9
v 1151 6 7
v 1152 4 8
v 1153 4 169
v 1154 7 5
v 1155 0 14
v 1156 0 4
v 1157 2 17
v 1158 6 4
v 1159 13 3
v 1160 7 2
v 1161 14 5
v 1162 12 5
v 1163 9 2
v 1164 0 2
v 1165 9 3
v 1166 0 4
v 1167 3 2
v 1168 6 45
v 1169 0 8
v 1170 6 9
v 1171 0 3
v 1172 0 19
v 1173 3 4
v 1174 0 6
v 1175 2 7
v 1176 3 3
v 1177 9 9
v 1178 4 33
v 1179 2 36
v 1180 9 4
v 1181 0 2
v 1182 1 4
v 1183 3 8
v 1184 0 6
v 1185 4 4
v 1186 11 31
v 1187 3 2
v 1188 6 4
v 1189 7 2
v 1190 6 2
v 1191 9 4
v 1192 0 5
v 1193 6 4
v 1194 0 2
v 1195 0 13
v 1196 0 4
v 1197 3 5
v 1198 2 5
v 1199 0 3
v 1200 0 2
v 1201 3 3
v 1202 0 11
v 1203 2 2
v 1204 11 4
v 1205 0 11
v 1206 9 63
v 1207 6 4
v 1208 0 2
v 1209 3 3
v 1210 3 3
v 1211 6 7
v 1212 0 4
v 1213 0 2
v 1214 3 2
v 1215 0 3
v 1216 6 14
v 1217 7 3
v 1218 0 4
v 1219 2 2
v 1220 9 4
v 1221 6 8
v 1222 14 7
v 1223 0 2
v 1224 0 6
v 1225 0 2
v 1226 5 3
v 1227 0 6
v 1228 0 4
v 1229 6 8
v 1230 3 8
v 1231 9 3
v 1232 0 5
v 1233 3 5
v 1234 0 2
v 1235 0 5
v 1236 9 4
v 1237 9 3
v 1238 0 5
v 1239 0 3
v 1240 7 2
v 1241 0 9
v 1242 9 3
v 1243 2 9
v 1244 14 3
v 1245 6 4
v 1246 6 8
v 1247 9 2
v 1248 0 3
v 1249 9 4
v 1250 6 2
v 1251 0 5
v 1252 12 3
v 1253 0 2
v 1254 9 7
v 1255 0 18
v 1256 0 2
v 1257 0 4
v 1258 6 4
v 1259 6 5
v 1260 0 9
v 1261 12 2
v 1262 0 16
v 1263 6 6
v 1264 3 4
v 1265 9 4
v 1266 3 2
v 1267 0 4
v 1268 12 4
v 1269 0 5
v 1270 3 4
v 1271 0 12
v 1272 3 2
v 1273 4 5
v 1274 2 4
v 1275 7 4
v 1276 0 3
v 1277 3 3
v 1278 7 6
v 1279 0 4
v 1280 2 5
v 1281 0 11
v 1282 0 2
v 1283 2 2
v 1284 4 961
v 1285 2 10
v 1286 12 5
v 1287 0 12
v 1288 3 4
v 1289 0 2
v 1290 4 125
v 1291 0 6
v 1292 6 3
v 1293 0 3
v 1294 0 9
v 1295 0 11
v 1296 10 7
v 1297 0 2
v 1298 6 4
v 1299 3 2
v 1300 0 3
v 1301 0 7
v 1302 13 4
v 1303 0 2
v 1304 10 5
v 1305 7 2
v 1306 3 3
v 1307 13 3
v 1308 0 14
v 1309 0 5
v 1310 0 2
v 1311 6 3
v 1312 6 22
v 1313 3 3
v 1314 0 5
v 1315 0 3
v 1316 10 2
v 1317 2 88
v 1318 0 5
v 1319 9 4
v 1320 6 6
v 1321 4 6
v 1322 12 2
v 1323 3 7
v 1324 2 3
v 1325 3 3
v 1326 0 4
v 1327 9 7
v 1328 6 8
v 1329 9 4
v 1330 9 6
v 1331 0 7
v 1332 2 4
v 1333 0 4
v 1334 2 8
v 1335 4 4
v 1336 9 10
v 1337 7 7
v 1338 0 2
v 1339 2 22
v 1340 12 8
v 1341 0 2
v 1342 4 5
v 1343 5 2
v 1344 6 32
v 1345 7 7
v 1346 2 226
v 1347 0 4
v 1348 0 6
v 1349 6 4
v 1350 0 2
v 1351 9 37
v 1352 3 5
v 1353 8 36
v 1354 2 51
v 1355 0 2
v 1356 0 26
v 1357 0 9
v 1358 0 4
v 1359 6 4
v 1360 12 5
v 1361 0 4
v 1362 9 5
v 1363 4 33
v 1364 6 3
v 1365 3 7
v 1366 2 6
v 1367 2 4
v 1368 4 4
v 1369 6 15
v 1370 0 9
v 1371 9 6
v 1372 3 3
v 1373 3 3
v 1374 4 699
v 1375 4 15
v 1376 0 3
v 1377 2 10
v 1378 9 38
v 1379 9 6
v 1380 0 2
v 1381 0 4
v 1382 6 16
v 1383 6 3
v 1384 0 3
v 1385 14 10
v 1386 0 7
v 1387 0 5
v 1388 0 2
v 1389 0 9
v 1390 6 42
v 1391 10 2
v 1392 3 3
v 1393 0 2
v 1394 1 3
v 1395 0 4
v 1396 2 3
v 1397 12 3
v 1398 0 7
v 1399 0 4
v 1400 6 29
v 1401 6 13
v 1402 0 2
v 1403 2 5
v 1404 7 5
v 1405 0 23
v 1406 2 6
v 1407 2 6
v 1408 0 5
v 1409 2 10
v 1410 2 3
v 1411 7 4
v 1412 14 3
v 1413 0 8
v 1414 4 8
v 1415 0 4
v 1416 0 3
v 1417 3 4
v 1418 14 7
v 1419 0 3
v 1420 0 6
v 1421 9 4
v 1422 10 13
v 1423 3 4
v 1424 3 3
v 1425 0 3
v 1426 9 4
v 1427 0 2
v 1428 0 2
v 1429 2 2
v 1430 3 4
v 1431 0 2
v 1432 0 2
v 1433 0 13
v 1434 0 3
v 1435 2 5
v 1436 3 2
v 1437 2 2
v 1438 3 3
v 1439 0 4
v 1440 6 50
v 1441 12 27
v 1442 9 17
v 1443 8 3
v 1444 9 4
v 1445 3 4
v 1446 2 3
v 1447 0 30
v 1448 6 8
v 1449 0 3
v 1450 9 2
v 1451 0 5
v 1452 9 4
v 1453 0 11
v 1454 0 4
v 1455 6 16
v 1456 0 3
v 1457 0 7
v 1458 2 34
v 1459 0 6
v 1460 6 3
v 1461 2 7
v 1462 9 6
v 1463 0 2
v 1464 0 3
v 1465 4 10
v 1466 0 9
v 1467 2 56
v 1468 0 3
v 1469 12 5
v 1470 2 2
v 1471 0 2
v 1472 8 2
v 1473 0 4
v 1474 4 8
v 1475 3 2
v 1476 3 4
v 1477 6 3
v 1478 9 16
v 1479 2 5
v 1480 0 6
v 1481 6 14
v 1482 9 7
v 1483 4 8
v 1484 3 2
v 1485 2 6
v 1486 0 34
v 1487 7 4
v 1488 0 2
v 1489 3 3
v 1490 2 5
v 1491 0 8
v 1492 6 2
v 1493 3 4
v 1494 0 4
v 1495 2 3
v 1496 4 7
v 1497 0 16
v 1498 2 4
v 1499 0 4
v 1500 0 3
v 1501 4 16
v 1502 9 10
v 1503 0 31
v 1504 0 2
v 1505 0 167
v 1506 8 2
v 1507 0 7
v 1508 0 8
v 1509 6 2
v 1510 0 4
v 1511 5 5
v 1512 6 4
v 1513 7 2
v 1514 8 4
v 1515 10 2
v 1516 0 3
v 1517 0 11
v 1518 3 4
v 1519 2 3
v 1520 3 6
v 1521 10 5
v 1522 0 10
v 1523 0 3
v 1524 0 4
v 1525 0 2
v 1526 0 2
v 1527 0 7
v 1528 0 4
v 1529 14 2
v 1530 0 7
v 1531 0 2
v 1532 3 5
v 1533 6 2
v 1534 0 3
v 1535 3 4
v 1536 0 2
v 1537 2 4
v 1538 9 4
v 1539 0 6
v 1540 2 3
v 1541 7 2
v 1542 0 6
v 1543 0 5
v 1544 6 3
v 1545 0 3
v 1546 2 5
v 1547 0 10
v 1548 0 16
v 1549 2 2
v 1550 0 5
v 1551 12 3
v 1552 3 3
v 1553 0 2
v 1554 6 4
v 1555 12 7
v 1556 0 3
v 1557 7 4
v 1558 0 37
v 1559 9 3
v 1560 0 36
v 1561 2 10
v 1562 0 5
v 1563 2 8
v 1564 0 7
v 1565 0 5
v 1566 0 8
v 1567 4 35
v 1568 0 4
v 1569 6 5
v 1570 7 8
v 1571 0 3
v 1572 10 2
v 1573 6 2
v 1574 0 3
v 1575 0 9
v 1576 0 21
v 1577 6 7
v 1578 4 4
v 1579 6 3
v 1580 2 3
v 1581 10 2
v 1582 7 7
v 1583 3 54
v 1584 0 4
v 1585 7 7
v 1586 6 3
v 1587 5 3
v 1588 0 12
v 1589 6 2
v 1590 4 4
v 1591 0 7
v 1592 0 3
v 1593 9 4
v 1594 0 3
v 1595 3 4
v 1596 0 4
v 1597 6 5
v 1598 6 3
v 1599 7 8
v 1600 0 2
v 1601 3 3
v 1602 3 4
v 1603 0 4
v 1604 6 3
v 1605 12 29
v 1606 0 10
v 1607 9 2
v 1608 6 15
v 1609 0 4
v 1610 2 8
v 1611 0 31
v 1612 0 13
v 1613 6 3
v 1614 9 3
v 1615 0 9
v 1616 3 3
v 1617 2 3
v 1618 7 5
v 1619 0 13
v 1620 3 4
v 1621 0 4
v 1622 6 4
v 1623 2 14
v 1624 0 8
v 1625 12 2
v 1626 3 3
v 1627 0 3
v 1628 10 5
v 1629 0 3
v 1630 4 7
v 1631 3 5
v 1632 14 3
v 1633 3 3
v 1634 4 4
v 1635 6 2
v 1636 2 4
v 1637 7 7
v 1638 14 4
v 1639 12 2
v 1640 2 4
v 1641 4 2
v 1642 3 4
v 1643 0 33
v 1644 2 5
v 1645 6 11
v 1646 9 8
v 1647 0 11
v 1648 0 2
v 1649 7 4
v 1650 0 4
v 1651 0 14
v 1652 0 6
v 1653 3 3
v 1654 12 13
v 1655 0 4
v 1656 6 21
v 1657 4 3
v 1658 6 8
v 1659 9 2
v 1660 6 14
v 1661 3 3
v 1662 7 8
v 1663 9 5
